107
0 1 3 4 7 66 68 114 115 123 125 127 128 129 130 131 132 133 134 135 137 139 200 202 206 207 208 209 215 216 217 219 218 220 231 232 798 800 801 802 804 808 869 871 872 873 874 877 878 880 882 884 885 1160 1162 1166 1168 1172 1175 1217 1218 1219 1220 1223 1224 1225 1227 1412 1646 1648 1658 1660 1661 1663 1664 1668 1670 1673 1675 1729 1730 1770 1732 1733 1734 1735 1773 2279 2281 2282 2294 2297 2299 2319 2333 2480 2487 2488 2716 3076 3077 3094 3100 3101 3104 3247 3253
0 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
1 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
1 0 1 2 5 6 4 3 10 9 7 8 11 ; 0 1 2 3 5 4 7 6 8
2 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
3 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
2 0 1 2 3 4 7 8 5 6 9 11 10 ; 0 1 2 3 4 5 6 8 7
3 0 1 2 3 4 7 8 5 6 9 10 11 ; 0 1 2 3 4 5 6 8 7
4 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
0 0 1 2 3 4 7 8 6 5 9 11 10 ; 0 1 2 3 4 5 6 8 7
1 0 1 2 3 4 7 8 6 5 9 10 11 ; 0 1 2 3 4 5 6 8 7
1 0 1 2 5 6 10 9 4 3 7 8 11 ; 0 1 2 3 5 4 7 8 6
2 0 1 2 5 6 7 9 4 3 8 11 10 ; 0 1 2 3 5 4 7 8 6
2 0 1 2 5 6 4 3 7 9 8 11 10 ; 0 1 2 3 5 4 7 6 8
2 0 1 2 7 5 6 9 4 3 8 11 10 ; 0 1 2 3 5 4 8 7 6
4 0 1 2 5 7 9 10 4 3 6 8 11 ; 0 1 2 3 5 4 7 8 6
3 0 1 2 5 7 10 9 4 3 6 8 11 ; 0 1 2 3 5 4 7 8 6
3 0 1 2 7 5 10 9 4 3 8 6 11 ; 0 1 2 3 5 4 8 7 6
3 0 1 2 5 4 3 6 7 10 9 8 11 ; 0 1 2 3 5 4 7 6 8
2 0 1 2 7 4 3 8 5 6 9 11 10 ; 0 1 2 3 5 4 8 6 7
4 0 1 2 5 4 3 6 7 9 10 8 11 ; 0 1 2 3 5 4 7 6 8
3 0 1 2 7 4 3 8 5 10 9 6 11 ; 0 1 2 3 5 4 8 6 7
0 0 1 2 7 4 3 8 6 5 9 11 10 ; 0 1 2 3 4 5 8 6 7
2 0 2 1 6 5 7 9 4 3 8 11 10 ; 0 1 2 5 4 3 7 8 6
2 0 2 1 6 5 4 3 7 9 8 11 10 ; 0 1 2 5 4 3 7 6 8
0 0 2 1 7 4 3 8 6 5 9 11 10 ; 0 1 2 4 5 3 8 6 7
2 0 2 1 3 4 6 5 7 8 9 11 10 ; 0 1 2 4 5 3 6 7 8
0 0 2 1 3 4 7 8 6 5 9 11 10 ; 0 1 2 4 5 3 6 8 7
0 0 2 1 5 6 4 3 7 9 8 11 10 ; 0 1 2 5 4 3 7 6 8
1 0 2 1 3 4 6 5 7 8 9 10 11 ; 0 1 2 4 5 3 6 7 8
1 0 2 1 5 6 4 3 10 9 7 8 11 ; 0 1 2 5 4 3 7 6 8
3 0 2 1 3 4 5 6 7 8 9 10 11 ; 0 1 2 4 5 3 6 7 8
2 0 2 1 3 4 7 8 6 5 9 11 10 ; 0 1 2 4 5 3 6 8 7
3 0 2 1 3 4 7 8 5 6 9 10 11 ; 0 1 2 4 5 3 6 8 7
4 0 2 1 3 4 5 6 7 8 9 10 11 ; 0 1 2 4 5 3 6 7 8
1 0 2 1 3 4 7 8 6 5 9 10 11 ; 0 1 2 4 5 3 6 8 7
1 0 2 1 5 6 10 9 4 3 7 8 11 ; 0 1 2 5 4 3 7 8 6
2 0 2 1 7 6 5 9 4 3 8 11 10 ; 0 1 2 5 4 3 8 7 6
4 0 2 1 5 7 9 10 4 3 6 8 11 ; 0 1 2 5 4 3 7 8 6
3 0 2 1 5 7 10 9 4 3 6 8 11 ; 0 1 2 5 4 3 7 8 6
3 0 2 1 7 5 10 9 4 3 8 6 11 ; 0 1 2 5 4 3 8 7 6
3 0 2 1 5 4 3 6 7 10 9 8 11 ; 0 1 2 5 4 3 7 6 8
2 0 2 1 7 4 3 8 6 5 9 11 10 ; 0 1 2 5 4 3 8 6 7
4 0 2 1 5 4 3 6 7 9 10 8 11 ; 0 1 2 5 4 3 7 6 8
3 0 2 1 7 4 3 8 5 10 9 6 11 ; 0 1 2 5 4 3 8 6 7
2 2 0 1 6 5 7 9 4 3 8 11 10 ; 0 5 4 1 2 3 7 8 6
2 2 0 1 6 5 4 3 7 9 8 11 10 ; 0 5 4 1 2 3 7 6 8
0 2 0 1 7 4 3 8 6 5 9 11 10 ; 0 4 5 1 2 3 8 6 7
2 2 0 1 3 4 6 5 7 8 9 11 10 ; 0 4 5 1 2 3 6 7 8
0 2 0 1 3 4 7 8 6 5 9 11 10 ; 0 4 5 1 2 3 6 8 7
0 2 0 1 5 6 4 3 7 9 8 11 10 ; 0 5 4 1 2 3 7 6 8
1 2 0 1 3 4 6 5 7 8 9 10 11 ; 0 4 5 1 2 3 6 7 8
1 2 0 1 5 6 4 3 10 9 7 8 11 ; 0 5 4 1 2 3 7 6 8
